n,algoritmo,tiempo_promedio,iteraciones_nodos,memoria_mb,solucion_encontrada
4,Hill Climbing,0.0,1.6666666666666667,0,True
8,Hill Climbing,0.0021777947743733725,4.333333333333333,0.0078125,False
12,Hill Climbing,0.01574405034383138,6.333333333333333,0.01171875,False
16,Hill Climbing,0.058542331059773765,9,0.02734375,False
20,Hill Climbing,0.15148361523946127,9.666666666666666,0.08333333333333333,False
4,Backtracking,0.0,26,0,True
8,Backtracking,0.0019991397857666016,876,0,True
12,Backtracking,0.001999378204345703,3066,0,True
16,Backtracking,0.17760729789733887,160712,0,True
20,Backtracking,5.687960624694824,3992510,0,True
